"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data31]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data11]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data17]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data16]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_upload_api","TestUploadAPI","","","test_upload_file_success[data0]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data30]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data4]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data9]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_login_api","TestLoginAPI","","","test_login[data4]","测试登录接口"
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data10]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data27]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data12]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data26]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data16]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data28]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data8]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data5]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data25]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data23]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_login_api","TestLoginAPI","","","test_login[data2]","测试登录接口"
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_upload_api","TestUploadAPI","","","test_upload_file_success[data1]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data1]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data0]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data19]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data29]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data2]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data31]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data23]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data18]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data14]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data35]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data19]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data4]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data30]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data1]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data29]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data21]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_login_api","TestLoginAPI","","","test_login[data5]","测试登录接口"
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data7]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data2]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data22]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data20]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data24]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data14]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data24]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data6]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data36]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data3]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data15]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data13]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data5]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_login_api","TestLoginAPI","","","test_login[data0]","测试登录接口"
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data18]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data26]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data32]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data8]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data34]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data0]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data20]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data12]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_login_api","TestLoginAPI","","","test_login[data1]","测试登录接口"
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data15]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_admin_api","TestAdminAPI","","","test_get_projects_approval_list[data17]",""
"broken","Wed Jul 15 03:33:57 UTC 2026","Wed Jul 15 03:33:57 UTC 2026","0","testcases","test_user_api","TestUserAPI","","","test_get_projects_approval_list[data21]",""
